Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Steering wheel","The steering wheel rim",1,23.10,"https://www.aliexpress.com/item/1005008283871869.html?spm=a2g0o.productlist.main.5.430722Bl22BlMr&algo_pvid=c2dc1e47-fc69-493c-8cef-484f19cfbc0e&algo_exp_id=c2dc1e47-fc69-493c-8cef-484f19cfbc0e-4&pdp_ext_f=%7B%22order%22%3A%227%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2135.77%2132.19%21%21%21171.89%21154.69%21%40210319b717721466880308911e4c93%2112000044476687786%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=euxCJDX6zvuV&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008283871869%7C_p_origin_prod%3A","Aliexpress"
"Quick release","Quick release for mechanically attaching the rim to the wheelbase",1,30.44,"https://www.aliexpress.com/item/1005006011448738.html?spm=a2g0o.productlist.main.31.64316a3e9iB9GD&algo_pvid=a887161b-c5d8-4da6-b413-c2813b075eea&algo_exp_id=a887161b-c5d8-4da6-b413-c2813b075eea-28&pdp_ext_f=%7B%22order%22%3A%221330%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2137.14%2129.81%21%21%21178.48%21143.25%21%4021033d9d17721600855956035edb11%2112000044198059347%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838525&curPageLogUid=kRrVs4aPaLjf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006011448738%7C_p_origin_prod%3A","Aliexpress"
"USB C male connector","For use in the steering rim to connect it and transfer data/power to and from the wheelbase",1,3.51,"https://www.aliexpress.com/item/1005009243305185.html?spm=a2g0o.productlist.main.5.69a21c5fyiIEjy&algo_pvid=44eab888-692e-4da2-b96a-8381b9425e2a&algo_exp_id=44eab888-692e-4da2-b96a-8381b9425e2a-4&pdp_ext_f=%7B%22order%22%3A%22284%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%214.62%211.42%21%21%2122.13%216.82%21%402101e81117719025451461074eaf10%2112000048447657808%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7206fb8d%3Bm03_new_user%3A-29895%3BpisId%3A5000000197843456&curPageLogUid=0OJ39zZ4TCBB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009243305185%7C_p_origin_prod%3A#nav-description","Aliexpress"
"USB C female connector","For connecting pedals, handbrake etc to the wheelbase. They are also used for connecting the rim. ",5,2.04,"https://www.aliexpress.com/item/1005008529430881.html?spm=a2g0o.productlist.main.25.31565a56h2lBC9&algo_pvid=3489dd88-14fb-466a-ad81-588128104914&algo_exp_id=3489dd88-14fb-466a-ad81-588128104914-22&pdp_ext_f=%7B%22order%22%3A%22918%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%212.14%211.42%21%21%2110.27%216.82%21%402101e80317719023676641149eaa59%2112000045578295667%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7206fb8d%3Bm03_new_user%3A-29895%3BpisId%3A5000000198344600&curPageLogUid=Uu7WJVr0K4pu&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008529430881%7C_p_origin_prod%3A#nav-description","Aliexpress"
"PSU","36v 800w psu for driving the motor and electronics",1,27.31,"https://www.aliexpress.com/item/1005010376385581.html?spm=a2g0o.productlist.main.1.7bb1IOe3IOe3jY&algo_pvid=2147334e-4a18-4dc9-b4e5-168b44d118d0&algo_exp_id=2147334e-4a18-4dc9-b4e5-168b44d118d0-0&pdp_ext_f=%7B%22order%22%3A%222227%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005010376385581%22%2C%22orig_item_id%22%3A%221005010130797577%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2158.78%2111.60%21%21%21282.44%2155.73%21%402101f70717721605308621698e5ab6%2112000053303189861%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000198344600&curPageLogUid=77qK0odrpWPv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010376385581%7C_p_origin_prod%3A1005010130797577","Alixpress"
"Hoverboard motor","36v 350w hoverboard motor to provide the force feedback.",1,32.22,"https://www.aliexpress.com/item/1005009897349541.html?spm=a2g0o.productlist.main.1.1a428KJE8KJEon&algo_pvid=ad5b7875-e0f4-4d88-8ac9-d6291cc793fe&algo_exp_id=ad5b7875-e0f4-4d88-8ac9-d6291cc793fe-0&pdp_ext_f=%7B%22order%22%3A%2230%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%21110.16%2134.89%21%21%21527.59%21167.08%21%402101c44517719023114054527ef8c1%2112000050511139857%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7206fb8d%3Bm03_new_user%3A-29895%3BpisId%3A5000000197843401&curPageLogUid=29wSyuul6Ael&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009897349541%7C_p_origin_prod%3A","Aliexpress"
"Steel plate","For clamping the motor shaft and protecting the aluminium crossbeam. 3mm thick.",1,9.29,"https://www.aliexpress.com/item/1005007253220639.html?spm=a2g0o.productlist.main.7.105374b0Vo9Lnp&algo_pvid=d2ee90d7-dfa6-4ef8-ba77-ae4972b544d1&algo_exp_id=d2ee90d7-dfa6-4ef8-ba77-ae4972b544d1-6&pdp_ext_f=%7B%22order%22%3A%22693%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.74%211.40%21%21%212.64%210.99%21%40210311c217764913486386872ee44c%2112000039956645420%21sea%21AU%216973160092%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000203295561&curPageLogUid=3KQb5Kkc63sV&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007253220639%7C_p_origin_prod%3A","Aliexpress"
"2040 T slot 180mm","The crossbeam for supporting the motor shaft.",1,0.80,"https://jlcmc.com/product/s/T01/TXCJ/extruded-aluminum-t-slot-20-series(eu)","JLCMC"
"T slot 200mm","The vertical supports for 2060, PCB and PSU",2,1.05,"https://jlcmc.com/product/s/T01/TXCJ/extruded-aluminum-t-slot-20-series(eu)","JLCMC"
"T slot 320mm","Providing the outer horizontal frame",4,3.28,"https://jlcmc.com/product/s/T01/TXCJ/extruded-aluminum-t-slot-20-series(eu)","JLCMC"
